 

stn;time;rre150h0
EVO;2023081022;0.0
EVO;2023081023;0.0
EVO;2023081100;0.0
EVO;2023081101;0.0
EVO;2023081102;0.0
EVO;2023081103;0.0
EVO;2023081104;0.0
EVO;2023081105;0.0
EVO;2023081106;0.0
EVO;2023081107;0.0
EVO;2023081108;0.0
EVO;2023081109;0.0
EVO;2023081110;0.0
EVO;2023081111;0.0
EVO;2023081112;0.0
EVO;2023081113;0.0
EVO;2023081114;0.0
EVO;2023081115;0.0
EVO;2023081116;0.0
EVO;2023081117;0.0
EVO;2023081118;0.0
EVO;2023081119;0.0
EVO;2023081120;0.0
EVO;2023081121;0.0
EVO;2023081122;0.0
EVO;2023081123;0.0
EVO;2023081200;0.0
EVO;2023081201;0.0
EVO;2023081202;0.0
EVO;2023081203;0.0
EVO;2023081204;0.0
EVO;2023081205;0.0
EVO;2023081206;0.0
EVO;2023081207;0.0
EVO;2023081208;0.0
EVO;2023081209;0.0
EVO;2023081210;0.0
EVO;2023081211;0.0
EVO;2023081212;0.0
EVO;2023081213;0.0
EVO;2023081214;0.0
EVO;2023081215;0.1
EVO;2023081216;0.2
EVO;2023081217;0.0
EVO;2023081218;0.0
EVO;2023081219;0.0
EVO;2023081220;0.0
EVO;2023081221;0.0
EVO;2023081222;0.0
EVO;2023081223;0.0
EVO;2023081300;0.0
EVO;2023081301;0.0
EVO;2023081302;0.0
EVO;2023081303;0.0
EVO;2023081304;0.0
EVO;2023081305;0.0
EVO;2023081306;0.0
EVO;2023081307;0.0
EVO;2023081308;0.0
EVO;2023081309;0.0
EVO;2023081310;0.0
EVO;2023081311;0.0
EVO;2023081312;0.0
EVO;2023081313;0.0
EVO;2023081314;0.0
EVO;2023081315;0.0
EVO;2023081316;0.0
EVO;2023081317;0.0
EVO;2023081318;0.0
EVO;2023081319;0.0
EVO;2023081320;0.0
EVO;2023081321;0.0
EVO;2023081322;0.2
EVO;2023081323;0.7
EVO;2023081400;0.0
EVO;2023081401;0.0
EVO;2023081402;0.0
EVO;2023081403;0.0
EVO;2023081404;0.0
EVO;2023081405;0.0
EVO;2023081406;0.0
EVO;2023081407;0.0
EVO;2023081408;0.0
EVO;2023081409;0.0
EVO;2023081410;0.0
EVO;2023081411;0.0
EVO;2023081412;0.0
EVO;2023081413;0.0
EVO;2023081414;0.0
EVO;2023081415;0.0
EVO;2023081416;0.0
EVO;2023081417;0.9
EVO;2023081418;0.0
EVO;2023081419;0.0
EVO;2023081420;0.9
EVO;2023081421;2.5
EVO;2023081422;0.1
EVO;2023081423;0.0
EVO;2023081500;0.0
EVO;2023081501;0.0
EVO;2023081502;0.0
EVO;2023081503;0.0
EVO;2023081504;0.0
EVO;2023081505;0.0
EVO;2023081506;0.0
EVO;2023081507;0.0
EVO;2023081508;0.0
EVO;2023081509;0.0
EVO;2023081510;0.0
EVO;2023081511;0.0
EVO;2023081512;0.0
EVO;2023081513;0.0
EVO;2023081514;0.0
EVO;2023081515;0.0
EVO;2023081516;0.0
EVO;2023081517;0.0
EVO;2023081518;0.0
EVO;2023081519;0.0
EVO;2023081520;0.0
EVO;2023081521;0.0
EVO;2023081522;0.0
EVO;2023081523;0.0
EVO;2023081600;0.0
EVO;2023081601;0.0
EVO;2023081602;0.0
EVO;2023081603;0.0
EVO;2023081604;0.0
EVO;2023081605;0.0
EVO;2023081606;0.0
EVO;2023081607;0.0
EVO;2023081608;0.0
EVO;2023081609;0.0
EVO;2023081610;0.0
EVO;2023081611;0.0
EVO;2023081612;0.0
EVO;2023081613;0.0
EVO;2023081614;0.0
EVO;2023081615;0.0
EVO;2023081616;0.0
EVO;2023081617;0.0
EVO;2023081618;0.3
EVO;2023081619;6.9
EVO;2023081620;0.2
EVO;2023081621;0.0
EVO;2023081622;0.0
EVO;2023081623;0.3
EVO;2023081700;2.1
EVO;2023081701;0.0
EVO;2023081702;0.0
EVO;2023081703;0.0
EVO;2023081704;0.0
EVO;2023081705;0.0
EVO;2023081706;0.0
EVO;2023081707;0.0
EVO;2023081708;0.0
EVO;2023081709;0.0
EVO;2023081710;0.1
EVO;2023081711;0.2
EVO;2023081712;1.2
EVO;2023081713;0.0
EVO;2023081714;0.7
EVO;2023081715;0.0
EVO;2023081716;0.0
EVO;2023081717;0.0
EVO;2023081718;0.0
EVO;2023081719;0.0
EVO;2023081720;0.0
EVO;2023081721;0.0
EVO;2023081722;0.0
EVO;2023081723;0.0
EVO;2023081800;0.0
EVO;2023081801;0.0
EVO;2023081802;0.0
EVO;2023081803;0.0
EVO;2023081804;0.0
EVO;2023081805;0.0
EVO;2023081806;0.0
EVO;2023081807;0.0
EVO;2023081808;0.0
EVO;2023081809;0.0
EVO;2023081810;0.0
EVO;2023081811;0.0
EVO;2023081812;0.0
EVO;2023081813;0.0
EVO;2023081814;0.0
EVO;2023081815;0.0
EVO;2023081816;0.0
EVO;2023081817;0.0
EVO;2023081818;0.0
EVO;2023081819;0.0
EVO;2023081820;0.0
EVO;2023081821;0.0
EVO;2023081822;0.0
EVO;2023081823;0.0
EVO;2023081900;0.0
EVO;2023081901;0.0
EVO;2023081902;0.0
EVO;2023081903;0.0
EVO;2023081904;0.0
EVO;2023081905;0.0
EVO;2023081906;0.0
EVO;2023081907;0.0
EVO;2023081908;0.0
EVO;2023081909;0.0
EVO;2023081910;0.0
EVO;2023081911;0.0
EVO;2023081912;0.0
EVO;2023081913;0.0
EVO;2023081914;0.0
EVO;2023081915;0.0
EVO;2023081916;0.0
EVO;2023081917;0.0
EVO;2023081918;0.0
EVO;2023081919;0.0
EVO;2023081920;0.0
EVO;2023081921;0.0
EVO;2023081922;0.0
EVO;2023081923;0.0
